jdate,retweets,favorites,tweetcount,movretweets,movfavorites,movtweets,mov_rt_rat,mov_fav_rat,rt_rat,fav_rat
390,318838,694279,79,NA,NA,NA,NA,NA,4035.92405063291,8788.3417721519
391,386063,882952,145,304331.333333333,726819.333333333,115,2646.35942028985,6320.16811594203,2662.50344827586,6089.32413793103
392,208093,603227,121,205445.333333333,513850,110,1867.68484848485,4671.36363636364,1719.77685950413,4985.34710743802
393,22180,55371,64,80889.3333333333,228859,84.6666666666667,955.385826771653,2703.05905511811,346.5625,865.171875
394,12395,27979,69,18010,41962.6666666667,65.3333333333333,275.663265306122,642.285714285714,179.63768115942,405.492753623188
395,19455,42538,63,16789.6666666667,34551,72.3333333333333,232.115207373272,477.663594470046,308.809523809524,675.206349206349
396,18519,33136,85,18311,39454,88.3333333333333,207.294339622642,446.649056603774,217.870588235294,389.835294117647
397,16959,42688,117,19661,37592,96,204.802083333333,391.583333333333,144.948717948718,364.854700854701
398,23505,36952,86,19570.6666666667,40384.3333333333,90.6666666666667,215.852941176471,445.415441176471,273.313953488372,429.674418604651
399,18248,41513,69,20308,38734.6666666667,71,286.028169014084,545.558685446009,264.463768115942,601.63768115942
400,19171,37739,58,18072.6666666667,34811.3333333333,65.3333333333333,276.622448979592,532.826530612245,330.534482758621,650.672413793103
401,16799,25182,69,17779.6666666667,31434.6666666667,62.3333333333333,285.235294117647,504.299465240642,243.463768115942,364.95652173913
402,17369,31383,60,16870.6666666667,28879,62.3333333333333,270.652406417112,463.299465240642,289.483333333333,523.05
403,16444,30072,58,20466.3333333333,34228.6666666667,61.6666666666667,331.886486486486,555.059459459459,283.51724137931,518.48275862069
404,27586,41231,67,20447,34132.6666666667,109.333333333333,187.015243902439,312.189024390244,411.731343283582,615.388059701493
405,17311,31095,203,18901.3333333333,33594.3333333333,123,153.669376693767,273.124661246613,85.2758620689655,153.177339901478
406,11807,28457,99,13772,31065.6666666667,123.666666666667,111.363881401617,251.204851752022,119.262626262626,287.444444444444
407,12198,33645,69,11105,29102,69.3333333333333,160.168269230769,419.740384615385,176.782608695652,487.608695652174
408,9310,25204,40,10476.3333333333,27223.6666666667,63,166.291005291005,432.121693121693,232.75,630.1
409,9921,22822,80,9484.66666666667,22521.6666666667,57.3333333333333,165.43023255814,392.81976744186,124.0125,285.275
410,9223,19539,52,11021.6666666667,25416,69,159.734299516908,368.347826086957,177.365384615385,375.75
411,13921,33887,75,13516.3333333333,30324.6666666667,108.333333333333,124.766153846154,279.92,185.613333333333,451.826666666667
412,17405,37548,198,15238,34373.6666666667,125.666666666667,121.257294429708,273.53050397878,87.9040404040404,189.636363636364
413,14388,31686,104,16860,36802.6666666667,134,125.820895522388,274.646766169154,138.346153846154,304.673076923077
414,18787,41174,100,14581.6666666667,32513,98.3333333333333,148.28813559322,330.640677966102,187.87,411.74
415,10570,24679,91,12211.6666666667,27795,89.3333333333333,136.69776119403,311.138059701493,116.153846153846,271.197802197802
416,7278,17532,77,8054.33333333333,19011.3333333333,78.6666666666667,102.385593220339,241.669491525424,94.5194805194805,227.688311688312
417,6315,14823,68,7421.33333333333,16647,66.6666666666667,111.32,249.705,92.8676470588235,217.985294117647
418,8671,17586,55,7723,17021.6666666667,56.6666666666667,136.288235294118,300.382352941177,157.654545454545,319.745454545455
419,8183,18656,47,8906.33333333333,18908,62,143.650537634409,304.967741935484,174.106382978723,396.936170212766
420,9865,20482,84,9192.33333333333,20153,85.6666666666667,107.303501945525,235.249027237354,117.440476190476,243.833333333333
421,9529,21321,126,8909.33333333333,19082,88.3333333333333,100.860377358491,216.022641509434,75.6269841269841,169.214285714286
422,7334,15443,55,7543,16876,83,90.8795180722892,203.325301204819,133.345454545455,280.781818181818
423,5766,13864,68,8278.33333333333,18526.3333333333,64,129.348958333333,289.473958333333,84.7941176470588,203.882352941176
424,11735,26272,69,9167,22616.6666666667,80,114.5875,282.708333333333,170.072463768116,380.753623188406
425,10000,27714,103,10005,24160.6666666667,76.3333333333333,131.069868995633,316.515283842795,97.0873786407767,269.067961165049
426,8280,18496,57,9766.33333333333,21933,74.6666666666667,130.799107142857,293.745535714286,145.263157894737,324.491228070175
427,11019,19589,64,9948.33333333333,17872.6666666667,54.6666666666667,181.981707317073,326.939024390244,172.171875,306.078125
428,10546,15533,43,10141,20034.6666666667,58.6666666666667,172.857954545455,341.5,245.255813953488,361.232558139535
429,8858,24982,69,9699,20751.6666666667,50.6666666666667,191.427631578947,409.572368421053,128.376811594203,362.057971014493
430,9693,21740,40,8980,21014.6666666667,60.3333333333333,148.839779005525,348.309392265193,242.325,543.5
431,8389,16322,72,8581,18659.3333333333,62.3333333333333,137.663101604278,299.347593582888,116.513888888889,226.694444444444
432,7661,17916,75,6757.66666666667,15090,68.3333333333333,98.8926829268293,220.829268292683,102.146666666667,238.88
433,4223,11032,58,7350.66666666667,15778.6666666667,71.3333333333333,103.046728971963,221.196261682243,72.8103448275862,190.206896551724
434,10168,18388,81,7891.33333333333,15043,73.3333333333333,107.609090909091,205.131818181818,125.530864197531,227.012345679012
435,9283,15709,81,9626,17764,64,150.40625,277.5625,114.604938271605,193.938271604938
436,9427,19195,30,7873.33333333333,14044.3333333333,52,151.410256410256,270.083333333333,314.233333333333,639.833333333333
437,4910,7229,45,6074.66666666667,11764,36.6666666666667,165.672727272727,320.836363636364,109.111111111111,160.644444444444
438,3887,8868,35,4913.33333333333,8338,44.3333333333333,110.827067669173,188.075187969925,111.057142857143,253.371428571429
439,5943,8917,53,4394.66666666667,8992,44.6666666666667,98.3880597014926,201.313432835821,112.132075471698,168.245283018868
440,3354,9191,46,6532.66666666667,12853.3333333333,47.6666666666667,137.048951048951,269.65034965035,72.9130434782609,199.804347826087
441,10301,20452,44,6438.33333333333,12394,44.3333333333333,145.225563909774,279.563909774436,234.113636363636,464.818181818182
442,5660,7539,43,8220.33333333333,13535.3333333333,48,171.256944444444,281.986111111111,131.627906976744,175.325581395349
443,8700,12615,57,5445,8062,54,100.833333333333,149.296296296296,152.631578947368,221.315789473684
444,1975,4032,62,4518.66666666667,8155.66666666667,59.3333333333333,76.1573033707865,137.455056179775,31.8548387096774,65.0322580645161
445,2881,7820,59,3287.33333333333,7442.66666666667,63.3333333333333,51.9052631578947,117.515789473684,48.8305084745763,132.542372881356
446,5006,10476,69,3877.66666666667,8122.66666666667,53.6666666666667,72.2546583850932,151.354037267081,72.5507246376812,151.826086956522
447,3746,6072,33,3982,7603.66666666667,42.6666666666667,93.328125,178.2109375,113.515151515152,184
448,3194,6263,26,4286.66666666667,10118.6666666667,41.3333333333333,103.709677419355,244.806451612903,122.846153846154,240.884615384615
449,5920,18021,65,3753.66666666667,9863,39,96.2478632478633,252.897435897436,91.0769230769231,277.246153846154
450,2147,5305,26,4606.33333333333,11880.6666666667,46.3333333333333,99.4172661870503,256.41726618705,82.5769230769231,204.038461538462
451,5752,12316,48,3649.33333333333,7594.33333333333,43.3333333333333,84.2153846153846,175.253846153846,119.833333333333,256.583333333333
452,3049,5162,56,4225.66666666667,8648,55,76.830303030303,157.236363636364,54.4464285714286,92.1785714285714
453,3876,8466,61,3119,5800,47.6666666666667,65.4335664335664,121.678321678322,63.5409836065574,138.786885245902
454,2432,3772,26,2921.66666666667,6614,47,62.1631205673759,140.723404255319,93.5384615384615,145.076923076923
455,2457,7604,54,2121,4903.66666666667,36.3333333333333,58.3761467889908,134.963302752294,45.5,140.814814814815
456,1474,3335,29,NA,NA,NA,NA,NA,50.8275862068966,115
