jdate,retweets,favorites,tweetcount,movretweets,movfavorites,movtweets,mov_rt_rat,mov_fav_rat,rt_rat,fav_rat
1,2463,4165,24,NA,NA,NA,NA,NA,102.625,173.541666666667
2,279,379,7,1021,1661,13.6666666666667,74.7073170731707,121.536585365854,39.8571428571429,54.1428571428571
3,321,439,10,405.333333333333,476,10.6666666666667,38,44.625,32.1,43.9
4,616,610,15,564.333333333333,633.333333333333,13.3333333333333,42.325,47.5,41.0666666666667,40.6666666666667
5,756,851,15,585.666666666667,612.666666666667,15,39.0444444444444,40.8444444444444,50.4,56.7333333333333
6,385,377,15,890.666666666667,780.333333333333,17.6666666666667,50.4150943396226,44.1698113207547,25.6666666666667,25.1333333333333
7,1531,1113,23,724,605.333333333333,15.6666666666667,46.2127659574468,38.6382978723404,66.5652173913043,48.3913043478261
8,256,326,9,795.666666666667,738.333333333333,12.6666666666667,62.8157894736842,58.2894736842105,28.4444444444444,36.2222222222222
9,600,776,6,302.666666666667,382.666666666667,6,50.4444444444444,63.7777777777778,100,129.333333333333
10,52,46,3,396.666666666667,490,5.66666666666667,70,86.4705882352941,17.3333333333333,15.3333333333333
11,538,648,8,533,664.333333333333,12.3333333333333,43.2162162162162,53.8648648648649,67.25,81
12,1009,1299,26,695.666666666667,869.333333333333,15,46.3777777777778,57.9555555555556,38.8076923076923,49.9615384615385
13,540,661,11,648,881.666666666667,16,40.5,55.1041666666667,49.0909090909091,60.0909090909091
14,395,685,11,425.333333333333,611.666666666667,11,38.6666666666667,55.6060606060606,35.9090909090909,62.2727272727273
15,341,489,11,342,518.666666666667,9.33333333333333,36.6428571428571,55.5714285714286,31,44.4545454545455
16,290,382,6,315,446.666666666667,7.66666666666667,41.0869565217391,58.2608695652174,48.3333333333333,63.6666666666667
17,314,469,6,238.333333333333,332.333333333333,5.66666666666667,42.0588235294118,58.6470588235294,52.3333333333333,78.1666666666667
18,111,146,5,234,328.333333333333,5.66666666666667,41.2941176470588,57.9411764705882,22.2,29.2
19,277,370,6,1087.33333333333,739.666666666667,9,120.814814814815,82.1851851851852,46.1666666666667,61.6666666666667
20,2874,1703,16,1266.66666666667,968.666666666667,10.6666666666667,118.75,90.8125,179.625,106.4375
21,649,833,10,1367.33333333333,1069.66666666667,11,124.30303030303,97.2424242424242,64.9,83.3
22,579,673,7,1138,1513,8,142.25,189.125,82.7142857142857,96.1428571428571
23,2186,3033,7,946.333333333333,1274.66666666667,5.33333333333333,177.4375,239,312.285714285714,433.285714285714
24,74,118,2,875.333333333333,1212.33333333333,5.33333333333333,164.125,227.3125,37,59
25,366,486,7,198,283,4,49.5,70.75,52.2857142857143,69.4285714285714
26,154,245,3,303,430.666666666667,6,50.5,71.7777777777778,51.3333333333333,81.6666666666667
27,389,561,8,300.666666666667,431,6.66666666666667,45.1,64.65,48.625,70.125
28,359,487,9,411,609.333333333333,8.66666666666667,47.4230769230769,70.3076923076923,39.8888888888889,54.1111111111111
29,485,780,9,289,430.666666666667,6.66666666666667,43.35,64.6,53.8888888888889,86.6666666666667
30,23,25,2,208.666666666667,331.333333333333,5,41.7333333333333,66.2666666666667,11.5,12.5
31,118,189,4,257,354,6,42.8333333333333,59,29.5,47.25
32,630,848,12,507,630.333333333333,8.33333333333333,60.84,75.64,52.5,70.6666666666667
33,773,854,9,644.666666666667,759,10.3333333333333,62.3870967741935,73.4516129032258,85.8888888888889,94.8888888888889
34,531,575,10,612,756.666666666667,10.3333333333333,59.2258064516129,73.2258064516129,53.1,57.5
35,532,841,12,528.333333333333,712.666666666667,11,48.030303030303,64.7878787878788,44.3333333333333,70.0833333333333
36,522,722,11,465.333333333333,727.666666666667,10,46.5333333333333,72.7666666666667,47.4545454545455,65.6363636363636
37,342,620,7,670.666666666667,1009.66666666667,9.66666666666667,69.3793103448276,104.448275862069,48.8571428571429,88.5714285714286
38,1148,1687,11,735.333333333333,1058,11.3333333333333,64.8823529411765,93.3529411764706,104.363636363636,153.363636363636
39,716,867,16,919.333333333333,1267.66666666667,14,65.6666666666667,90.5476190476191,44.75,54.1875
40,894,1249,15,732.666666666667,1053,15,48.8444444444444,70.2,59.6,83.2666666666667
41,588,1043,14,671,978.666666666667,14,47.9285714285714,69.9047619047619,42,74.5
