username,Jdate,date,retweets,favorites,text,mentions,hashtags,id,afraid,amused,angry,annoyed,dont_care,happy,inspired,sad,type,http,pics,mention_count,hashtag_count
NOAA,91,3/31/2016,31,25,To access national drought data + more state/region maps & stats pls see http://droughtmonitor.unl.edu #DroughtMonitor pic.twitter.com/ShSjS5Febn,,#drought #DroughtMonitorpic,7.16E+17,0.205157736,0.107813739,0.110662945,0.107596053,0.103812469,0.112330005,0.116587124,0.136039929,Off_pre,TRUE,TRUE,0,2
NOAA,84,3/24/2016,28,36,Watch our RipCurrent Survival Guide video BEFORE you head to the beach. It could be a lifesaver: https://youtu.be/pa4k5TcIo_U @NOAAOceanToday,@NOAAOceanToday,#RipCurrent,7.13E+17,0.087371774,0.121182736,0.086321236,0.104559021,0.099929796,0.1791963,0.207470003,0.113969136,Off_pre,TRUE,FALSE,1,1
NOAA,83,3/23/2016,51,66,NOAA @USNavy: The mystery of the missing USS Conestoga is solved http://www.noaa.gov/mystery-missing-uss-conestoga-solved … pic.twitter.com/r22VKa017c,@USNavy,#Conestoga,7.13E+17,0.292473922,0.101554081,0.080795523,0.062992389,0.107207989,0.087145666,0.089765398,0.178065034,Off_pre,TRUE,TRUE,1,1
NOAA,82,3/22/2016,133,138,We're working to help build a sustainable water future. Here's how: http://www.noaa.gov/world-water-day-building-sustainable-future-water … #WorldWaterDay pic.twitter.com/jVINWEa7Ms,,#water #WorldWaterDaypic,7.12E+17,0.118070619,0.113598347,0.11368062,0.111694307,0.101323458,0.145152917,0.183280278,0.113199454,Off_pre,TRUE,TRUE,0,2
NOAA,80,3/20/2016,1569,1466,It's last light at SouthPole today. Sun sets and won't rise until Oct for NOAA scientists http://1.usa.gov/1PksWZj pic.twitter.com/Q0f8UBIvob,,#SouthPole,7.12E+17,0.177605126,0.116903961,0.133552108,0.075330705,0.122662789,0.117066475,0.123517378,0.133361459,Off_pre,TRUE,TRUE,0,1
NOAA,77,3/17/2016,95,32,Jan–Feb 2016 global temp record high for the period says @NOAANCEIclimate http://1.usa.gov/1SPVZLh StateOfClimate pic.twitter.com/DNpZLItAUn,@NOAANCEIclimate,#StateOfClimatepic,7.10E+17,0.125440158,0.084895483,0.105326965,0.092046337,0.128726434,0.149584877,0.120722203,0.193257544,Off_pre,TRUE,TRUE,1,1
NOAA,77,3/17/2016,561,346,JUST IN: February 2016 warmest on record for the globe per @NOAANCEIclimate http://1.usa.gov/1SPVZLh StateOfClimate pic.twitter.com/gejm8VpKVX,@NOAANCEIclimate,#StateOfClimatepic,7.10E+17,0.128500714,0.135794796,0.10876202,0.116947083,0.151120821,0.141149616,0.113268485,0.104456465,Off_pre,TRUE,TRUE,1,1
NOAA,71,3/11/2016,50,43,Airborne NOAA researchers giving weather forecasters detailed look at #atmosphericriver http://go.usa.gov/cGcS5 pic.twitter.com/8sQIwgFeqN,,#weather #atmosphericriver,7.08E+17,0.276734858,0.114352109,0.097649151,0.062239237,0.091203887,0.11276369,0.138471062,0.106586007,Off_pre,TRUE,TRUE,0,2
NOAA,71,3/11/2016,40,27,An insightful blog - NOAA marine debris director: A look back 5 years Japan tsunamidebris http://bit.ly/1UlvVHN pic.twitter.com/gZxfuVwy0j,,#tsunamidebris,7.08E+17,0.18850584,0.114011229,0.086049294,0.082001637,0.104329382,0.114806631,0.162282318,0.14801367,Off_pre,TRUE,TRUE,0,1
NOAA,69,3/9/2016,184,93,Record annual increase of carbondioxide observed at Mauna Loa for 2015 http://1.usa.gov/1U4jf9h pic.twitter.com/974CEGqNYn,,#carbondioxide,7.08E+17,0.198932421,0.173868446,0.07679564,0.067986718,0.115025689,0.122927916,0.129154402,0.115308769,Off_pre,TRUE,TRUE,0,1
