word,category,Alt_Badlands_sci_terms,Alt_NOAA_sci_terms,Alt_NPS_sci_terms,Alt_USDA_sci_terms,Alt_USEPA_sci_terms,Alt_USFS_sci_terms,Alt_USFWS_sci_terms,Off_Badlands_post_sci_terms,Off_NOAA_Jan_Apr2016_tweets_sci_terms,Off_NOAA_post_sci_terms,Off_NPS_Jan_Apr2016_tweets_sci_terms,Off_NPS_post_sci_terms,Off_USDA_Jan_Apr2016_tweets_sci_terms,Off_USDA_post_sci_terms,Off_USEPA_Jan_Apr2016_tweets_sci_terms,Off_USEPA_post_sci_terms,Off_USFS_Jan_Apr2016_tweets_sci_terms,Off_USFS_post_sci_terms,Off_USFWS_Jan_Apr2016_tweets_sci_terms,Off_USFWS_post_sci_terms
accurate,evidence,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acidification,ecology,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actonclimate,climate,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
agoutlook,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
agriculture,agriculture,0,1,0,1,1,0,0,0,0,0,0,0,4,7,0,0,0,3,0,0
agroforestry,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
air,,4,10,0,1,17,0,1,1,0,0,0,0,0,0,9,2,1,2,0,1
albatross,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
aldo,person,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
algae,plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
allegheny,ecosystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
alligator,reptile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
allpipesleak,fossilfuel,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altusepa,agency,2,0,0,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
amphibians,amphibian,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
analysis,evidence,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andes,ecosystem,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anglers,activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
animal,animal,5,3,1,64,2,1,0,0,0,0,0,0,1,0,0,0,0,2,5,3
antarctic,ecosystem,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
antelope,mammal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anticorrosion,chem,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antienvironment,conservation,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antiscience,evidence,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple,agriculture,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
aquatic,ecosystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
aquifer,,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
arbor,plant,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
arboretum,plant,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
arctic,ecosystem,1,2,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
article,evidence,0,2,0,2,20,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ash,plant,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
atlantic,ecosystem,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atmosphere,climate,4,9,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attackonanimals,action,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avalanche,weather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
badlandsnps,agency,17,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
bat,mammal,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0
beach,ecosystem,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
beak,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bear,mammal,1,0,0,7,1,1,0,1,0,0,0,0,1,0,0,0,3,2,2,3
beavers,mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bee,invertebrate,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
beef,agriculture,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
beetles,invertebrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
bighorn,mammal,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
biking,activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
billnye,person,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biodiversity,ecology,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
biologist,occupation,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
biology,general,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bird,bird,1,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,2,2,8,7
birding,activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
birdyear,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
bison,mammal,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1
blackfooted,mammal,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
blizzardwatch,weather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
blm,agency,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
blooms,ecology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blossoms,plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
breed,agriculture,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
breeding,ecology,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
brontothere,mammal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
buffalo,mammal,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bugs,invertebrate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bull,mammal,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
bumblebee,invertebrate,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burrowing,ecology,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
butte,ecosystem,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butterfly,invertebrate,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,2
camp,activity,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
campfire,activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
campground,activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
camping,activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
canyon,ecosystem,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cape,ecosystem,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carbon,climate,4,7,2,0,3,0,1,0,0,1,0,0,0,0,1,0,2,2,0,0
caribbean,ecosystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
carrion,ecology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carson,person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
cat,mammal,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdc,agency,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cedar,plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
censorship,evidence,1,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ch4,fossilfuel,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chemical,chem,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
chick,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
chicken,bird,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
citation,evidence,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cleanairact,pollution,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
cleanwater,pollution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
climate,climate,19,54,50,11,66,3,6,0,2,2,0,0,1,1,7,0,4,0,0,0
climateaction,climate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
climatechange,climate,20,27,2,5,2,1,6,0,0,0,1,0,0,0,2,0,0,0,0,0
climatechangeisreal,climate,3,1,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
climatefacts,evidence,1,33,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
climatologist,occupation,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clouds,weather,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co2,fossilfuel,0,12,1,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
coal,fossilfuel,1,6,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
coast,ecosystem,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
colony,ecology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
condor,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
conference,evidence,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conservation,conservation,6,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5,4,10,1
conserve,conservation,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1
contamination,pollution,0,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
copper,chem,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
coral,invertebrate,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cottontail,mammal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cow,domestic,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cranes,bird,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
creek,ecosystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
crickets,invertebrate,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
critter,animal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crops,agriculture,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cubs,mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cutthroat,fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
cuyahoga,ecosystem,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dapl,fossilfuel,4,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
data,evidence,1,13,8,6,28,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0
database,evidence,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dceaglecam,bird,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0
ddt,pollution,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
debris,ecology,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
dec,agency,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
deer,mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
denalinps,agency,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
denial,evidence,1,6,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dens,ecology,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
desert,ecosystem,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
diesel,fossilfuel,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dioxide,climate,3,4,2,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
discovery,evidence,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
disease,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distribution,ecology,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diversity,ecology,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,1,1,0
dog,domestic,5,3,0,8,0,0,1,2,0,0,0,0,0,0,0,0,1,1,2,1
doi,agency,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drilling,fossilfuel,3,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drinkingwater,pollution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
droughtmonitor,climate,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
duck,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
eagle,bird,3,0,0,0,2,0,1,0,0,0,1,0,1,2,1,0,0,0,5,0
eaglet,bird,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0
earth,astro,0,7,2,0,3,0,1,1,4,0,0,0,0,0,0,0,0,2,0,0
earthday,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
earthquakes,geology,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
echa,chem,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecological,ecology,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
ecologist,occupation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ecosystem,ecosystem,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
