,username,replyto_1,replyto_2,Jdate,date,retweets,favorites,text,mentions,hashtags,permalink,afraid,amused,angry,annoyed,dont_care,happy,inspired,sad,type,url,no_tiny_urls
2723,BadHombreNPS,,,416,2/19/2017,269,379,Killing wolves can actually exacerbate livestock depredation. check out this @PLOS study 2 learn more: http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0113505 … HJR69 #HR424 pic.twitter.com/UrAbnz1pSN,@PLOS,#HJR69 #HR424pic,https://twitter.com/BadHombreNPS/status/833324952220733441,0.125079714,0.114747065,0.144660983,0.130492244,0.133739292,0.094850892,0.131184301,0.125245509,Alt,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0113505,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0113505
2997,altNOAA,,,407,2/10/2017,32,57,"@SenSanders The next time @tedcruz tries to rattle off some facts""; just hand him this and let him read from it - https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3110239/ …"" ",@SenSanders @tedcruz,,https://twitter.com/altNOAA/status/830097991126114305,0.165138008,0.111055161,0.087832404,0.116029575,0.152730294,0.131819008,0.138395168,0.097000383,Alt,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3110239/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3110239/
4086,altUSEPA,altUSEPA,beachvetlbc,394,1/28/2017,3,4,For anyone following along here. this link has the peer reviewed (and cited) article referenced earlier https://www.ncbi.nlm.nih.gov/pubmed/23756170,,,https://twitter.com/altUSEPA/status/825273332496945153,0.18245424,0.157349457,0.1153418,0.082237919,0.162375687,0.105565374,0.10896958,0.085705943,Alt,https://www.ncbi.nlm.nih.gov/pubmed/23756170,https://www.ncbi.nlm.nih.gov/pubmed/23756170
3020,altNOAA,,,403,2/6/2017,121,209,Advanced reading but here is a 2017 paper that confirms the 2015 paper republicans are attempting to discredit:http://advances.sciencemag.org/content/3/1/e1601207.full …,,,https://twitter.com/altNOAA/status/828783107000193024,0.129271773,0.100954914,0.112041336,0.117879987,0.089772227,0.27058297,0.099951869,0.079544925,Alt,http://advances.sciencemag.org/content/3/1/e1601207.full,http://advances.sciencemag.org/content/3/1/e1601207.full
3056,altNOAA,,,392,1/26/2017,38,39,Tornado outbreaks are increasing in frequency. ClimateFacts #Weather https://news.uchicago.edu/article/2017/01/04/large-scale-tornado-outbreaks-increasing-frequency-study-finds …,,#ClimateFacts #Weatherhttps,https://twitter.com/altNOAA/status/824705144101146629,0.313355154,0.106454321,0.050361086,0.082922997,0.095068135,0.100612216,0.065093026,0.186133065,Alt,https://news.uchicago.edu/article/2017/01/04/large-scale-tornado-outbreaks-increasing-frequency-study-finds,https://news.uchicago.edu/article/2017/01/04/large-scale-tornado-outbreaks-increasing-frequency-study-finds
3583,altUSEPA,mouse_clicker,,451,3/26/2017,0,1,Here are some authorities on the scientific method as it pertains to climate change. http://www.pnas.org/content/107/27/12107.full …,,,https://twitter.com/altUSEPA/status/845879108047257600,0.143965095,0.112442634,0.145883272,0.098574718,0.09314508,0.106434226,0.163133375,0.136421601,Alt,http://www.pnas.org/content/107/27/12107.full,http://www.pnas.org/content/107/27/12107.full
3586,altUSEPA,phantomrachel,,450,3/25/2017,0,1,American atmospheric pollution can also be seen by satellite when the right frequency is highlighted. http://www.sciencedirect.com/science/article/pii/S1352231014004270 …,,,https://twitter.com/altUSEPA/status/845667144071208962,0.225909164,0.126667829,0.103043583,0.094069154,0.10131236,0.122770073,0.09139446,0.134833378,Alt,http://www.sciencedirect.com/science/article/pii/S1352231014004270,http://www.sciencedirect.com/science/article/pii/S1352231014004270
4103,altUSEPA,,,392,1/26/2017,102,338,c. 1995 Hamilton showed that positive EPA testing results can provide competitive advantage to complying firms. http://www.sciencedirect.com/science/article/pii/S0095069685710078 …,,,https://twitter.com/altUSEPA/status/824498301231734785,0.128888883,0.111880701,0.168728525,0.090434874,0.109656995,0.170566887,0.124093223,0.095749912,Alt,http://www.sciencedirect.com/science/article/pii/S0095069685710078,http://www.sciencedirect.com/science/article/pii/S0095069685710078
3587,altUSEPA,phantomrachel,,450,3/25/2017,0,1,"Spectral analysis of EMR reflected from above China makes the pollution there quite visible.""http://onlinelibrary.wiley.com/doi/10.1029/2012JD017915/full …"" ",,,https://twitter.com/altUSEPA/status/845666386462437376,0.17427252,0.17821541,0.085866252,0.089948845,0.086818899,0.124735316,0.186813736,0.073329023,Alt,http://onlinelibrary.wiley.com/doi/10.1029/2012JD017915/full,http://onlinelibrary.wiley.com/doi/10.1029/2012JD017915/full
3612,altUSEPA,Ukemike,,447,3/22/2017,1,1,Can MI provide $ to a marginalized community with water infrastructure ruined by incompetent oversight. https://www.awwa.org/publications/journal-awwa/abstract/articleid/62490493.aspx …,,,https://twitter.com/altUSEPA/status/844478817041354752,0.103755845,0.11062097,0.148024544,0.107399657,0.103273053,0.114077923,0.13575556,0.177092449,Alt,https://www.awwa.org/publications/journal-awwa/abstract/articleid/62490493.aspx,https://www.awwa.org/publications/journal-awwa/abstract/articleid/62490493.aspx
3618,altUSEPA,Suzanne1160,,446,3/21/2017,0,0,"Flint plant had not been fully operational in almost 50 years was understaffed."" https://www.awwa.org/publications/journal-awwa/abstract/articleid/62490493.aspx …"" ",,,https://twitter.com/altUSEPA/status/844329275679399936,0.090967021,0.103059226,0.136994304,0.105505967,0.12242235,0.114160187,0.13759258,0.189298365,Alt,https://www.awwa.org/publications/journal-awwa/abstract/articleid/62490493.aspx,https://www.awwa.org/publications/journal-awwa/abstract/articleid/62490493.aspx
3662,altUSEPA,kerrylynndavis,,444,3/19/2017,0,0,Thx. Water from GLWA good but some 4.5% residential tap water still contaminated due to corrosion. https://www.awwa.org/publications/journal-awwa/abstract/articleid/62490493.aspx …,,,https://twitter.com/altUSEPA/status/843542004755705856,0.17745134,0.089412717,0.088111193,0.083723408,0.103622856,0.234590636,0.115208882,0.107878968,Alt,https://www.awwa.org/publications/journal-awwa/abstract/articleid/62490493.aspx,https://www.awwa.org/publications/journal-awwa/abstract/articleid/62490493.aspx
3625,altUSEPA,altUSEPA,,446,3/21/2017,31,36,2016/04: Lit review: Despite evidence reg'rs allowed more glyphosate in food contrary to toxicological principles.http://journal.frontiersin.org/article/10.3389/fenvs.2016.00028/full …,,,https://twitter.com/altUSEPA/status/844141467236950017,0.110511218,0.130888913,0.1222893,0.120139525,0.090508893,0.097992843,0.192189577,0.135479732,Alt,http://journal.frontiersin.org/article/10.3389/fenvs.2016.00028/full,http://journal.frontiersin.org/article/10.3389/fenvs.2016.00028/full
3626,altUSEPA,ghanilog,,446,3/21/2017,0,1,"A glyphosate review from 2016/04. Five out of six scientists conclude that Russian roulette is safe"" http://journal.frontiersin.org/article/10.3389/fenvs.2016.00028/full …"" ",,,https://twitter.com/altUSEPA/status/844139366289088514,0.126185111,0.118746025,0.132417533,0.097858462,0.122872107,0.131420934,0.093983107,0.176516722,Alt,http://journal.frontiersin.org/article/10.3389/fenvs.2016.00028/full,http://journal.frontiersin.org/article/10.3389/fenvs.2016.00028/full
