,username,replyto_1,replyto_2,Jdate,date,retweets,favorites,text,mentions,hashtags,permalink,afraid,amused,angry,annoyed,dont_care,happy,inspired,sad,type,url,no_tiny_urls
2809,BadHombreNPS,,,392,1/26/2017,1765,1369,Here's an interactive map of all pipeline spills since 2010. @undarkmag noDAPL #standingrock http://undark.org/article/oil-pipeline-safety-dakota-access-standing-rock/ … pic.twitter.com/3jv4hiA83e,@undarkmag,#noDAPL #standingrock,https://twitter.com/BadHombreNPS/status/824643921397555201,0.124649256,0.114684122,0.111109444,0.158078082,0.09305026,0.150716282,0.135557981,0.112154573,Alt,http://undark.org/article/oil-pipeline-safety-dakota-access-standing-rock/,https://undark.org/article/oil-pipeline-safety-dakota-access-standing-rock/
2847,altNOAA,,,431,3/6/2017,41,48,407.59 ppm (going up). https://scripps.ucsd.edu/programs/keelingcurve/ …,,,https://twitter.com/altNOAA/status/838643151426441216,NA,NA,NA,NA,NA,NA,NA,NA,Alt,https://scripps.ucsd.edu/programs/keelingcurve/,https://scripps.ucsd.edu/programs/keelingcurve/
2898,altNOAA,WoodmansLuck,,422,2/25/2017,1,2,2016 was the biggest bump in CO2 in human history. https://scripps.ucsd.edu/programs/keelingcurve/2016/04/20/comment-on-recent-record-breaking-co2-concentrations/ …,,,https://twitter.com/altNOAA/status/835616457027375105,0.247921634,0.149866502,0.090844444,0.082873564,0.108151032,0.106286694,0.118331714,0.095724415,Alt,https://scripps.ucsd.edu/programs/keelingcurve/2016/04/20/comment-on-recent-record-breaking-co2-concentrations/,https://scripps.ucsd.edu/programs/keelingcurve/2016/04/20/comment-on-recent-record-breaking-co2-concentrations/
3048,altNOAA,,,396,1/30/2017,57,75,The latest CO2 measurement is 405.82 ppm. https://scripps.ucsd.edu/programs/keelingcurve/ … ScienceMarchOnWashington #resist,,#ScienceMarchOnWashington #resist,https://twitter.com/altNOAA/status/826227154782474240,0.244307018,0.197424746,0.103147038,0.068863564,0.122809436,0.075907917,0.101365092,0.086175191,Alt,https://scripps.ucsd.edu/programs/keelingcurve/,https://scripps.ucsd.edu/programs/keelingcurve/
3062,altNOAA,,,392,1/26/2017,33,39,Good morning. The amount of CO2 in the atmosphere today is 405.77 ppm. You can learn more here (check daily): https://scripps.ucsd.edu/programs/keelingcurve/ …,,#CO2,https://twitter.com/altNOAA/status/824624622620594177,0.175311609,0.134176265,0.09939772,0.093271161,0.116973652,0.110656337,0.145176181,0.125037077,Alt,https://scripps.ucsd.edu/programs/keelingcurve/,https://scripps.ucsd.edu/programs/keelingcurve/
2860,altNOAA,,,429,3/4/2017,77,174,Even the Russians agree on the consensus of human-induced climate change. resist http://wmc.meteoinfo.ru/media/climate/obzhee_rezume_eng.pdf … pic.twitter.com/rOZmr4FjN5,,#resist,https://twitter.com/altNOAA/status/838117960313147393,0.132556492,0.122016473,0.136530868,0.135006743,0.10081908,0.124250916,0.132755553,0.116063875,Alt,http://wmc.meteoinfo.ru/media/climate/obzhee_rezume_eng.pdf,http://wmc.meteoinfo.ru/media/climate/obzhee_rezume_eng.pdf
2873,altNOAA,,,427,3/2/2017,117,477,Sessions recused himself. In lighter news did you guys hear that a team of scientists mapped out dark matter? https://www.sciencedaily.com/releases/2017/03/170301105603.htm …,,,https://twitter.com/altNOAA/status/837461135255298049,0.102752633,0.163366269,0.10576416,0.113248542,0.122801526,0.150739766,0.143898491,0.097428613,Alt,https://www.sciencedaily.com/releases/2017/03/170301105603.htm,https://www.sciencedaily.com/releases/2017/03/170301105603.htm
2880,altNOAA,,,425,2/28/2017,93,173,"EPA tends to choose people who share EPA’s views about the importance of environmental issues."" Mind-blowing! https://www.aip.org/fyi/2017/science-committee-debates-standards-scientific-quality-epa-and-noaa …"" ",,,https://twitter.com/altNOAA/status/836468450205782017,0.094656603,0.118725872,0.190322432,0.136473401,0.086812877,0.154430163,0.141801642,0.076777011,Alt,https://www.aip.org/fyi/2017/science-committee-debates-standards-scientific-quality-epa-and-noaa,https://www.aip.org/fyi/2017/science-committee-debates-standards-scientific-quality-epa-and-noaa
2297,USFWS,,,179,6/27/2016,66,128,Eagle eyes filter out harmful radiation & inspired these sunglasses: http://bit.ly/28Zd1Zi NationalSunglassesDay pic.twitter.com/kp2d8ejgaR,,#NationalSunglassesDaypic,https://twitter.com/USFWS/status/747433371740049408,0.128808582,0.175540624,0.099093254,0.086254757,0.089580172,0.13297845,0.150073493,0.137670669,Off,http://bit.ly/28Zd1Zi,http://www.space.com/11141-space-technology-spinoffs-ultraviolet-sunglasses.html
2904,altNOAA,,,421,2/24/2017,21,45,It really seems like a bad idea to put humans on the first flight of our new SLS. Maybe a few cargo launches to testhttp://www.space.com/35825-safety-group-probes-sls-astronaut-flight.html …,,,https://twitter.com/altNOAA/status/835189884579119106,0.091477833,0.211086292,0.070959715,0.149249572,0.084684004,0.143270954,0.155781644,0.093489986,Alt,http://www.space.com/35825-safety-group-probes-sls-astronaut-flight.html,http://www.space.com/35825-safety-group-probes-sls-astronaut-flight.html
3015,altNOAA,,,404,2/7/2017,59,203,Our thoughts go out to these NASA employees and everyone affected by today's tornadoes across the Gulf Coast.http://www.space.com/35612-tornado-hits-nasa-michoud-assembly-facility.html …,,#NASA,https://twitter.com/altNOAA/status/829189177778507777,0.221501543,0.119023558,0.083479111,0.083409997,0.08654255,0.102007965,0.122258697,0.18177658,Alt,http://www.space.com/35612-tornado-hits-nasa-michoud-assembly-facility.html,http://www.space.com/35612-tornado-hits-nasa-michoud-assembly-facility.html
2991,altNOAA,,,407,2/10/2017,124,307,Planet Emergency: We must save coral reefs! Doing so saves humanity. Learn about how climate impacts coral reefs. http://www.teachoceanscience.net/teaching_resources/education_modules/coral_reefs_and_climate_change/how_does_climate_change_affect_coral_reefs/ …,,,https://twitter.com/altNOAA/status/830267632943259649,0.129006789,0.139520126,0.107198598,0.105973747,0.098109623,0.111261699,0.194697464,0.114231954,Alt,http://www.teachoceanscience.net/teaching_resources/education_modules/coral_reefs_and_climate_change/how_does_climate_change_affect_coral_reefs/,http://www.teachoceanscience.net/teaching_resources/education_modules/coral_reefs_and_climate_change/how_does_climate_change_affect_coral_reefs/
2993,altNOAA,,,407,2/10/2017,86,169,Tonight will have a FullMoon #Eclipse and #Comet45P! Get outside tonight! And tweet us your photos!http://www.skyandtelescope.com/astronomy-news/comet-45p-closing-in-for-weekend-flyby/ …,,#FullMoon #Eclipse #Comet45P,https://twitter.com/altNOAA/status/830202824457846784,0.082082946,0.175819729,0.071634635,0.083375726,0.136767839,0.166995111,0.186908893,0.096415121,Alt,http://www.skyandtelescope.com/astronomy-news/comet-45p-closing-in-for-weekend-flyby/,http://www.skyandtelescope.com/astronomy-news/comet-45p-closing-in-for-weekend-flyby/
2999,altNOAA,,,406,2/9/2017,1238,735,We have not taken a breath of air with less than 400 ppm of CO2 since 2015. And we never will again. ClimateFactshttp://www.climatecentral.org/news/world-passes-400-ppm-threshold-permanently-20738 …,,#ClimateFactshttp,https://twitter.com/altNOAA/status/829784256377475077,0.172160861,0.137554401,0.12062762,0.124503047,0.112622499,0.088698586,0.144292126,0.09954086,Alt,http://www.climatecentral.org/news/world-passes-400-ppm-threshold-permanently-20738,http://www.climatecentral.org/news/world-passes-400-ppm-threshold-permanently-20738
3031,altNOAA,,,399,2/2/2017,256,142,Changes appear on EPA website erasing portions of Obama's legacy. http://www.climatecentral.org/news/epa-climate-web-pages-change-21133 … resist,,#resist,https://twitter.com/altNOAA/status/827295312624615425,0.106521178,0.121556456,0.212906709,0.10152239,0.114171282,0.141773783,0.100598935,0.100949266,Alt,http://www.climatecentral.org/news/epa-climate-web-pages-change-21133,http://www.climatecentral.org/news/epa-climate-web-pages-change-21133
3087,NotAltWorld,,,392,1/26/2017,6589,15350,"A YUUUGE ScienceMarch in Washington DC is being planned to tell Trump's cabinet Alt"" facts won't sell #resisthttp://www.climatecentral.org/news/scientists-march-washington-dc-21111 …"" ",,#ScienceMarch #resisthttp,https://twitter.com/NotAltWorld/status/824620613797089281,0.116956077,0.154511981,0.094522569,0.108933852,0.120995552,0.21054542,0.10469399,0.08884056,Alt,http://www.climatecentral.org/news/scientists-march-washington-dc-21111,http://www.climatecentral.org/news/scientists-march-washington-dc-21111
3090,NotAltWorld,,,392,1/26/2017,3986,9391,A march on Washington is being nationally organized to advocate the importance of science to Trump sciencemarchhttp://www.climatecentral.org/news/scientists-march-washington-dc-21111 …,,#sciencemarchhttp,https://twitter.com/NotAltWorld/status/824569983095205888,0.097062777,0.126886858,0.115535491,0.143989396,0.11328727,0.124050564,0.164903389,0.114284255,Alt,http://www.climatecentral.org/news/scientists-march-washington-dc-21111,http://www.climatecentral.org/news/scientists-march-washington-dc-21111
3369,altusda,,,406,2/9/2017,145,146,Sonny Perdue will be bad. Very disappointed Vilsack endorsed him. http://www.climatecentral.org/news/food-security-forest-risk-trump-usda-21139 … resist #factsmatter #climatechangeisreal,,#resist #factsmatter #climatechangeisreal,https://twitter.com/altusda/status/829913974430892034,0.103008852,0.162485963,0.122040869,0.133244732,0.122119336,0.120324081,0.126047806,0.11072836,Alt,http://www.climatecentral.org/news/food-security-forest-risk-trump-usda-21139,http://www.climatecentral.org/news/food-security-forest-risk-trump-usda-21139
4018,altUSEPA,altUSEPA,,402,2/5/2017,34,100,Photo credit: Nickolay Lamm /http://ClimateCentral.org,,,https://twitter.com/altUSEPA/status/828450836976107521,0.099066748,0.136890621,0.089419648,0.120802432,0.122384805,0.153821562,0.150934003,0.126680181,Alt,http://ClimateCentral.org,http://www.climatecentral.org/
4024,altUSEPA,,,401,2/4/2017,883,554,The great unsciencing begins. Includes before & after screenshots. Thanks @AltVolcanoes_NPhttp://www.climatecentral.org/news/epa-climate-web-pages-change-21133 …,@AltVolcanoes_NPhttp,,https://twitter.com/altUSEPA/status/827844951165661185,0.08818733,0.16822286,0.050184409,0.10975609,0.153581643,0.174038325,0.183218751,0.072810594,Alt,http://www.climatecentral.org/news/epa-climate-web-pages-change-21133,http://www.climatecentral.org/news/epa-climate-web-pages-change-21133
3008,altNOAA,,,405,2/8/2017,23,62,Tornado simulator... and enjoy the cow! http://scijinks.gov/tornado-simulation/ … weather,,#weather,https://twitter.com/altNOAA/status/829377722463956994,0.234545062,0.070441395,0.055702515,0.052737134,0.107142659,0.105669943,0.179810136,0.193951156,Alt,http://scijinks.gov/tornado-simulation/,https://scijinks.gov/tornado-simulation/
488,NatlParkService,,,76,3/16/2016,45,92,. @NatGeo explores the importance of green spaces. What your fav city getaway? http://on.natgeo.com/1Z08y7g FindYourPark pic.twitter.com/OLUh5TVV3c,@NatGeo,#FindYourParkpic,https://twitter.com/NatlParkService/status/710105594602987521,0.095327192,0.147458207,0.074502092,0.082410375,0.089549825,0.18202291,0.226508415,0.102220984,Off,http://on.natgeo.com/1Z08y7g,http://www.nationalgeographic.com/magazine/2016/04/nature-urban-national-parks/
1388,EPA,,NA,3,1/3/2016,12,9,TUNE IN NOW: @GinaEPA on StarTalkTV with @neiltyson.http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/ …,@GinaEPA @neiltyson,#StarTalkTV,https://twitter.com/EPA/status/683860703917260801,0.094710184,0.157234277,0.081642256,0.115428908,0.111153655,0.151069801,0.190575548,0.098185372,Off,http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/,http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/
1389,EPA,,NA,3,1/3/2016,8,5,Starting soon! @GinaEPA is on StarTalkTV with @neiltyson. Tune in at 11pm ET to watch. http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/ …,@GinaEPA @neiltyson,#StarTalkTV,https://twitter.com/EPA/status/683853019381940225,0.079316102,0.157255786,0.074094759,0.126836192,0.133045691,0.164157311,0.156616552,0.108677607,Off,http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/,http://channel.nationalgeographic.com/startalk/episodes/gina-mccarthy/
